ServiceIndex,OriginalLimit,Delta,AdjustedLimit,DeltaPercent
1,400000.0,20000.0,420000.0,5.0
2,1500000.0,-63891.19427314561,1436108.8057268544,-4.259412951543041
3,600000.0,30000.0,630000.0,5.0
4,200000.0,10000.0,210000.0,5.0
5,30000.0,1500.0,31500.0,5.0
6,300000.0,13856.40646055109,313856.4064605511,4.61880215351703
7,100000.0,3535.53390593277,103535.53390593277,3.5355339059327697
8,100000.0,-1289.6517604794353,98710.34823952056,-1.2896517604794353
9,100000.0,5000.0,105000.0,5.0
10,500000.0,-16724.840200178325,483275.1597998217,-3.344968040035665
11,60000.0,-1986.254132680595,58013.745867319405,-3.3104235544676586
